Company Name,Ticker,Market Cap ,Avg Volume,Beta,P/E (Trailing 12 Months),Current Ratio,Current ROE (TTM),12 Mo Trailing EPS,Price as a % of 52 Wk H-L Range,% Price Change (12 Weeks)
BOOZ ALLEN HMLT,BAH,5694.55,1326093.38,1.06,21.95,1.43,59.18,1.74,100,24.35
BRASKEM SA,BAK,6505.63,522751.56,1.59,6.4,1.26,57.4,2.55,73.32,8.73
BROOKFIELD ASST,BAM,32257.06,1153966.63,1.05,16.09,1.46,3.66,2.09,72.01,-1.81
BANC OF CA INC,BANC,757.82,1320134.25,0.84,8.64,0.84,16.93,1.77,34.06,-32.06
BANCFIRST OKLA,BANF,1284.13,43027.7,0.64,19.15,1.01,10.08,4.27,91.88,18.81
BANNER CORP,BANR,1730.41,496549.41,1.23,19.68,0.94,6.78,2.63,95.36,19.67
CREDICORP LTD,BAP,12193.33,437435.5,0.87,12.26,1.27,18.24,12.51,86.49,-6.33
BASF SE,BASFY,76768.23,38913.7,1.34,14.95,1.67,15.2,5.59,79.51,1.68
BAXTER INTL,BAX,24345.86,3940232,0.88,24.73,2.53,11.43,1.81,69.44,-2.59
BAYER A G -ADR,BAYRY,78125.91,133098.55,1.3,11.74,1.51,24.12,8.05,2.97,-12.36
BED BATH&BEYOND,BBBY,6852.9,2015824.75,0.84,9.29,1.97,29.79,4.85,38.13,-2.53
BANCO BRADESCO,BBD,47021.02,13012086,1.77,9.79,1.15,17.58,0.87,71.73,-8.6
BLACK BOX CORP,BBOX,237.82,112165.5,0.7,16.53,1.58,8.66,0.95,95.17,8.13
BARRETT BUS SVS,BBSI,424.5,75181.2,0.94,15.92,0.86,50.65,3.68,99.28,22.7
BB&T CORP,BBT,35824.37,6648918.5,1.02,15.55,0.87,9.45,2.84,96.52,16.65
BANCO BILBAO VZ,BBVA,39854.2,5020299,1.32,10.08,1.03,6.72,0.61,27.69,-2.38
BUILD-A-BEAR WK,BBW,229.05,102560.95,-0.19,21.57,1.39,11.51,0.67,93.39,25.98
BBX CAPITAL CP,BBX,357.23,12366.15,1.65,11.47,6.49,9.51,1.9,96.51,9.94
BEST BUY,BBY,14474.04,7473591,1.51,14.44,1.35,24.18,3.16,93.65,19.3
BRUNSWICK CORP,BC,4422.61,1114258.25,1.94,14.81,1.85,22.74,3.33,65.04,9.04
BCB BANCORP INC,BCBP,135.61,11979.3,0.35,25.1,1.14,5.61,0.48,90,8.95
BOISE CASCADE,BCC,870.57,390078.41,1.98,19.74,2.06,8.1,1.15,50.06,-13.49
BCE INC,BCE,37888.43,985245.38,0.38,17.35,0.57,22.73,2.51,55.8,-9.42
BANCO DE CHILE,BCH,11067.33,49008.4,0.65,12.26,1.44,19.65,5.55,74.42,0.28
BRINKS CO THE,BCO,2030.4,368342.69,1.43,21.76,1.34,26.02,1.87,76.92,12
BLUCORA INC,BCOR,602.85,329645.19,-0.3,39.05,2.18,3.38,0.37,100,35.05
BALCHEM CP CL-B,BCPC,2487.56,141198.55,0.79,31.24,2.34,16.35,2.51,93.97,12.67
BARD C R INC,BCR,15872.79,512559.91,0.67,21.65,2.63,48.13,9.97,63.24,-2.77
BLUE CAP REINSR,BCRH,157.96,25065.6,0.04,10.08,1.04,8.67,1.79,43.36,2.04
BARCLAY PLC-ADR,BCS,44942.29,4938641,1.25,12.19,1.15,3.6,0.87,50.71,16.21
BELDEN INC,BDC,3131.3,337682.69,2.26,13.58,2.7,23.44,5.47,96.95,0.16
BRIDGE BANCORP,BDGE,582.15,72928.75,0.74,16.57,0.87,9.97,2.01,99.26,12.61
BRANDYWINE RT,BDN,2716.44,1604663,1.13,11.49,3.52,-0.5,1.35,75.63,-6.4
BECTON DICKINSO,BDX,36674.04,1393086.5,1.04,20.06,1.45,24.45,8.61,81.88,-2.9
BIOTELEMETRY,BEAT,551.92,306086.34,1.09,25.72,1.6,26.7,0.76,85.25,6.77
B/E AEROSPACE,BEAV,6087.04,2066166.75,0.9,18.21,2.08,291.22,3.29,100,14.62
BEACON ROOFING,BECN,2781.34,615578.75,1.33,22.22,2.43,10.07,2.09,87.71,0.24
BELMOND LTD,BEL,1317.81,488722.59,1.35,47.96,1.86,3.97,0.27,99.06,15.73
BEL FUSE INC-B,BELFB,368.16,43489.1,0.84,17.04,2.64,13,1.81,100,32.35
FRANKLIN RESOUR,BEN,22012.79,3844305.25,1.76,13.16,9.3,13.89,2.94,71.38,7.14
BERRY PLASTICS,BERY,6078.7,1532562,1.07,20.14,1.63,660.12,2.48,100,9.47
AMPLIFY SNACK,BETR,734.05,1358615.13,2.68,18.39,1.26,113.22,0.52,1.7,-44.03
BROWN-FORMAN -A,BF.A,19137.11,15510.2,0.83,28.25,2.93,49.17,1.73,16.21,-2.98
BROWN FORMAN  B,BF.B,18373.66,879652.88,0.81,27.13,2.93,49.17,1.73,26.41,-1.76
BRIGHT HORZN FS,BFAM,4150.03,413497.75,0.17,35.43,0.47,16.87,1.97,78.65,2.09
BFC FINL CORP-A,BFCF,290.87,88969.25,2,7.9,1.36,8.77,0.5,93.46,6.76
BANKFINANCIAL,BFIN,275.77,35943.75,0.6,37.66,1.01,3.54,0.38,93.69,14.66
BANCO FRANC-ADR,BFR,3281.83,105123.8,1.23,8.78,1,28.45,2.09,17.93,-12.29
SAUL CENTERS,BFS,1379.44,39000.2,0.71,21.85,2.51,24.75,2.95,80.2,-5.88
BUNGE LTD,BG,9359.16,1375894.75,0.97,15.18,1.44,10.38,4.42,86.79,4.73
GENL CABLE CORP,BGC,919.39,656324.5,2.47,30.57,1.99,33.36,0.61,95.26,17.08
BGC PARTNRS INC,BGCP,2710.88,1254409.13,1.35,12.46,1.25,24.66,0.78,89.38,8.97
BIG 5 SPORTING,BGFV,418.2,771422.88,0.13,26.53,1.85,7.88,0.72,92.28,46.25
BRIGGS & STRATT,BGG,900.27,264979.75,0.74,16.69,2.07,10.94,1.26,63.74,7.85
B&G FOODS CL-A,BGS,2858.78,678741.88,0,19.48,4.09,21.79,2.21,56.03,-8.72
BG STAFFING INC,BGSF,118.75,45490.9,0.12,12.12,1.84,28.42,1.13,20.71,-20.12
BAR HARBOR BKSH,BHB,269.07,14189.55,0.74,17.15,0.78,9.82,2.59,100,20.9
BLUE HILLS BCP,BHBK,471.36,101854.4,0.12,62.86,0.98,1.8,0.28,87.71,19.32
BENCHMARK ELETR,BHE,1410.16,253949.5,0.75,20.91,3.69,5.23,1.38,100,19.36
BERKSHIRE HILLS,BHLB,1067.68,153179.66,0.52,15.64,0.92,7.35,2.19,100,23.83
SOTHEBYS,BID,2044.53,689956.25,2.04,24.59,1.96,16.53,1.57,89.89,-3.96
BAIDU INC,BIDU,58690.23,2016627.38,1.99,49.32,2.75,9.42,3.43,36.87,-10.52
BIG LOTS INC,BIG,2305.54,846795.5,0.82,15.55,1.51,25.68,3.33,80.03,4.75
BIOGEN INC,BIIB,65874.88,1720746.63,0.75,15.38,3.24,40.02,19.69,74.09,-2.54
BIO-RAD LABS -A,BIO,5148.4,174284.95,0.88,52.34,4.18,3.79,3.33,100,14.91
BROOKFIELD INFR,BIP,7720.95,454866.19,1.08,42.44,1.15,4.45,0.75,77.74,-3.19
BJ'S RESTAURANT,BJRI,881.48,334963.06,0.97,21.53,0.55,13.91,1.76,31,-4.39
BANK OF NY MELL,BK,49747.71,6531910,1.3,15.28,0.69,9.66,3.08,94.21,13.43
BLACKROCK KELSO,BKCC,540.71,354158.5,0.9,10.19,0.59,8.18,0.73,19.58,-15.17
BROOKDALE SENR,BKD,2191.8,5320770.5,1.86,5.06,0.69,16.88,2.33,0,-32.95
BUCKLE INC,BKE,1237.45,487533.69,1.05,10.56,4.38,27.17,2.41,37.01,4.65
BLACK KNGHT FIN,BKFS,2573.64,126476.1,0.93,35.14,1.32,6.73,1.06,74.8,-6.29
BLACK HILLS COR,BKH,3246.28,396331.44,0.73,21.74,0.87,9.1,2.81,86.96,1.78
BANK MUTUAL CRP,BKMU,411.05,141266.8,0.87,24.32,1.04,5.82,0.37,100,14.5
BARNES & NOBLE,BKS,912.17,805658.94,1.9,28.52,0.98,6.14,0.44,84.33,-0.95
BANKUNITED INC,BKU,3645.98,810671.75,0.92,17.33,1,9.5,2.02,69.01,13.67
BLUE BIRD CORP,BLBD,358.46,49736.35,1.9,17.26,0.96,-15.91,0.93,94.38,9.11
TOPBUILD CORP,BLD,1409.84,294572.09,0.29,19.61,1.58,7.67,1.89,89.65,7.11
BUILDERS FIRSTS,BLDR,1231.38,1551469.38,2.39,13.63,1.75,49.2,0.81,59.81,-17.18
BLACKROCK INC,BLK,59730.53,694840,1.65,19.48,2.9,11.04,18.92,91.36,-0.82
BLACKBAUD INC,BLKB,3042.39,421788.41,0.96,49.57,0.64,27.58,1.29,64.46,-8.13
BALL CORP,BLL,13468.8,1348430,1.05,22.66,1.39,20.89,3.4,72.59,-4.85
BLOOMIN BRANDS,BLMN,1976.08,1800967,0.82,14.76,0.37,45.13,1.27,76.84,-4.92
BSB BANCORP INC,BLMT,239.38,20549.85,0.33,22.1,1.29,7.1,1.19,92.35,9.67
BANCO LATINOAME,BLX,1114.49,153393.3,1.68,11.52,1.63,9.8,2.47,90.99,-1.73
BANCO MACRO-ADR,BMA,4139.44,78485.7,1.66,7.98,1.04,37.6,9.05,69.9,-9.52
BMC STOCK HLDGS,BMCH,1272.39,326225.19,1.42,23.29,2.18,8.61,0.82,79.71,-7.55
BADGER METER,BMI,1059.6,185632.25,0.55,33.39,1.79,13.07,1.09,83.93,9.75
BANK MONTREAL,BMO,42843.66,508740.66,1.06,12.02,1.09,12.66,5.52,94.23,-1.63
BANK OF MARIN,BMRC,394.32,15729.65,0.68,17.55,0.89,10.01,3.67,86.73,29.86
BEMIS,BMS,4782.07,810096.63,0.89,19.48,1.92,20.19,2.62,71.84,-3.33
BRYN MAWR BK CP,BMTC,626.63,55162.35,0.58,31.13,1.01,5.46,1.19,100,15.31
BRISTOL-MYERS,BMY,94190.53,10700408,0.9,21.84,1.47,28.98,2.58,25.89,-1.05
BENEFICIAL BCP,BNCL,1324.7,275336.56,0.44,42.56,1,2.78,0.41,100,15.95
BNC BANCORP,BNCN,1580.11,292080,0.8,18.94,0.93,9.98,1.6,92.87,22.67
BARNES NOB EDUC,BNED,533.07,143462.2,0.95,37.32,1.31,2.22,0.31,44.78,-3.82
BNP PARIBAS-ADR,BNPQY,72269.9,119513.8,1.6,9.83,0.76,6.61,2.95,83.2,10.27
BANK OF NOVA SC,BNS,66210.31,833577.63,1.29,11.93,1.06,14.55,4.6,99.63,-0.13
BOB EVANS FARMS,BOBE,879.83,194659.05,0.39,22.37,0.77,17.38,1.99,70.89,12.6
BANK OF COMMRC,BOCH,112.22,15340,0.63,14.91,0.87,8.29,0.56,100,23.52
BOFI HLDG INC,BOFI,1581.21,1136023.38,0.08,13.08,1.13,18.49,1.91,99.05,13.03
BANK OF HAWAII,BOH,3548.64,269860.69,0.87,19.79,0.65,15.8,4.2,90.19,16.42
BOJANGLES INC,BOJA,680.32,275384.41,1.8,19.63,0.6,19.49,0.95,78.26,17.08
BOK FINL CORP,BOKF,5208.21,213790.09,0.82,21.59,0.91,7.2,3.66,91.39,16.29
BOOT BARN HLDGS,BOOT,432.27,236467.7,1.37,28.14,1.32,9.59,0.58,96.25,34.65
BP PLC,BP,105682.56,5255833,1.16,44.1,1.25,2.48,0.76,63.43,-3.37
BOSTON PRIV FIN,BPFH,1221.97,561827.38,0.99,18.85,0.98,9.11,0.78,86.31,15.39
BRIDGEPOINT EDU,BPI,479.58,154247.5,2.02,45,2.64,3.69,0.23,90.31,40.63
BUCKEYE PARTNRS,BPL,8873.25,591385.56,1.2,14.72,1.09,13.83,4.3,53.76,-10.39
POPULAR INC,BPOP,4219.65,641753.44,1.63,11.55,0.83,6.99,3.52,92.37,4.61
BP PRUDHOE BAY,BPT,450.47,136316.7,-0.12,10.22,5,6635.49,2.06,39.87,19.81
BROOKFIELD PPTY,BPY,5553.53,166968.45,0.95,5.94,0.11,4.26,3.57,39.2,-8.9
BROADRIDGE FINL,BR,7965.13,680699,1.1,24.15,1.38,34.1,2.77,79.24,-6.08
BRADY CORP CL A,BRC,1905.68,219391,1.08,22.7,2.6,14.14,1.65,96.79,10.9
BROCADE COMM SY,BRCD,4972.7,14480773,0.79,15.45,2.41,13.42,0.8,97.3,37.18
BRIDGESTONE ADR,BRDCY,31483.33,69487.35,0.59,11.81,2.18,13.64,1.64,93.53,10.98
BERKSHIRE HTH-B,BRK.B,388804.78,3995217.25,0.77,21.75,0.52,6.75,7.25,97.02,4.82
BROOKLINE BC,BRKL,1057.99,284358.44,0.86,20.27,1.15,7.6,0.74,94.08,24.69
BRUKER CORP,BRKR,3737.41,630224.13,1.04,20.99,2.29,26.05,1.11,35.84,5.81
BROOKS AUTOMATN,BRKS,1142.84,528944.38,1.07,35.43,2.4,5.75,0.47,99.15,30.9
BROWN & BROWN,BRO,6021.98,911192.19,0.67,23.09,0.93,11.8,1.86,97.71,13.41
BRISTOW GROUP,BRS,479.4,1034191.88,2.51,124.18,1.32,0.32,0.11,18.42,24.18
GLOBAL B&C HLD,BRSS,631.16,178393.45,0.47,15.21,3.18,54.81,1.92,85.75,2.82
BRIXMOR PPTY GP,BRX,7629.33,1652951,0.61,12.23,0.5,8.19,2.05,50.51,-12.89
BANCO SANT -ADR,BSAC,10242.04,379909.56,0.94,15.53,1.71,16.3,1.4,82.05,-0.23
BANCO SANT-ADS,BSBR,30666.98,1590815.38,1.41,24.73,0.94,8.49,0.33,92.57,14.13
BASSETT FURNITR,BSET,321.33,22586.75,1.15,19.19,2,9.42,1.55,66.99,18.15
BEAR STATE FINL,BSF,374.29,25059.75,1.62,23.14,0.97,7.09,0.43,66.44,6.42
BROADSOFT INC,BSFT,1253.99,310246.91,1.62,41.6,2.88,11.32,1,67.51,-11.68
BLACK STONE MNL,BSM,1762.5,105086.9,0.26,34.09,1.9,6.26,0.54,93.84,5.32
GRUPO FIN SANTR,BSMX,4650.92,2063302.63,1.57,11.11,1.06,12.96,0.63,4.44,-26.93
SIERRA BANCORP,BSRR,308.92,47759.55,0.71,17.36,0.77,8.8,1.29,98.95,24.51
BOSTON SCIENTIF,BSX,28282.04,8447830,1.15,19.23,1.05,23.25,1.08,55.89,-14.63
BT GRP PLC-ADR,BT,44535.24,646865.13,1.15,7.4,0.74,42.61,3.03,2.46,-16.06
B2GOLD CORP,BTG,2360.69,4746929,1.21,24.7,1.76,6.43,0.1,62.95,-16.84
BALLANTYNE STRG,BTN,101.89,26964.7,0.27,42.06,2.86,5.41,0.17,100,12.6
ANHEUSER-BU ADR,BUD,177468.69,3233160.25,1.2,26.47,2.11,31.13,3.96,9.28,-18.08
BLUE BUFFALO,BUFF,4606.31,1445654.75,2.27,30.84,4.39,242.34,0.76,69.77,-9.78
FIRST BUSEY-A,BUSE,1056.04,113702.35,0.75,18.18,0.91,10.42,1.52,95.8,20.38
BABCOCK&WILCOX,BW,754.62,601801.63,0.71,19.87,1.38,5.93,0.78,21.61,-8.07
BORG WARNER INC,BWA,7339.5,2430672.5,1.75,10.87,1.35,18.5,3.17,41.41,-3.07
BANKWELL FIN GP,BWFG,217.47,11453.75,0.35,18.65,1.15,8.53,1.54,99.9,24.33
BALDWIN&LYONS B,BWINB,403.5,25388.2,0.82,22.29,0.51,4.41,1.2,84.92,5.56
BUFFALO WLD WNG,BWLD,3083.42,342378.09,0.9,30.52,0.58,16.25,5.55,95.37,3.94
BOARDWALK PIPLN,BWP,4207.49,462970.16,0.75,15.14,0.82,6.34,1.11,85.14,-0.59
BWX TECHNOLGS,BWXT,3923.67,912703,0.37,23.96,1.62,72.58,1.65,92.7,0.82
BLACKSTONE GRP,BX,14866.02,4654160,1.46,15.38,1.01,15.41,1.69,34.63,-2.66
BOSTON PPTYS,BXP,19261.61,1091663,0.63,21.75,0.43,6.54,5.76,48.21,-12.25
BANCORPSOUTH,BXS,2664.4,643430.31,1.22,18.97,0.92,8.4,1.5,90.9,16.74
BOYD GAMING CP,BYD,2167.59,1577038.75,1.69,25.35,0.69,13.66,0.76,67.45,-1.83
CITIGROUP INC,C,158217.02,24985878,1.74,11.89,1,7.04,4.67,94.22,17.4
CA INC,CA,13571.35,2252598.5,1.08,13.7,1.32,18.51,2.37,73.72,-4.69
CALATLANTIC GRP,CAA,3973.07,1453323.25,1.48,10.04,6.4,11.73,3.41,42.31,-5.96
CHINA AUTO SYS,CAAS,202.28,96016.1,2.57,8.51,1.58,7.61,0.75,83.25,67.02
CABELAS INC,CAB,4282.74,774830.94,0.7,22.26,2.75,10.23,2.81,96.54,26.42
CABLE ONE INC,CABO,3421.46,51772.5,0.32,34.54,1.51,23.31,17.34,99.96,7.15
CAMDEN NTL CORP,CAC,598.34,67437.45,0.75,16.1,0.78,9.77,2.41,98.2,22.32
CASCADE BANCORP,CACB,546.81,635827.06,0.58,29.88,0.78,4.73,0.24,94.69,15.83
CACI INTL  A,CACI,3184.99,209739.41,1.82,18.17,1.71,11.21,7.19,100,29.61
CEASERS ACQ-A,CACQ,1555.03,208526.55,0.58,2.83,1.18,45.24,3.97,74.49,-8.09
CAE INC,CAE,3960.39,104243.9,0.9,20.2,1.57,13.19,0.73,99.23,1.17
CONAGRA BRANDS,CAG,16512.69,4023227.5,0.31,15.78,1.44,28.48,2.39,23.78,-18.72
CARDINAL HEALTH,CAH,22721.27,3662328,0.73,13.89,1.11,25.2,5.11,22.66,-12.15
CAI INTL INC,CAI,169.42,54621.35,2.03,6.35,0.82,6,1.4,61.34,6.72
CANON INC ADR,CAJ,31396.98,350539.84,0.57,19.83,1.26,5.83,1.45,42.51,-2.74
CHEESECAKE FACT,CAKE,2804.54,1042189.69,0.15,21.9,0.6,22.76,2.7,93.02,15.6
CALERES INC,CAL,1397.05,405756.34,0.52,16.78,1.97,13.76,1.94,95.6,32.21
MAGICJACK VOCTC,CALL,110.99,89759.45,1.57,6.93,1.09,30.32,1.01,34.26,2.79
CAL-MAINE FOODS,CALM,1941.24,325168.25,0.8,13.6,7.64,15.81,2.94,17.98,-9.87
CALAMP CORP,CAMP,543.16,339499.56,1.31,14.1,2.69,21.17,1.06,31.95,-1.32
CAMTEK LIMITED,CAMT,105.69,60058.35,1.09,18.69,2.77,9.02,0.16,92.81,16.8
CROSSAMERICA LP,CAPL,871.67,49123.65,1.37,92.89,0.87,4.43,0.28,80.47,0.12
AVIS BUDGET GRP,CAR,3369.7,2580877.5,2.2,12.78,1.19,68.51,3,90.86,6.62
CAROLINA FIN CP,CARO,331.55,68283.45,0.38,17.05,0.85,12.27,1.55,97.57,21.3
META FINL GRP,CASH,802.96,72604.85,0.91,21.66,0.34,11.85,4.35,99.31,51.92
CASS INFO SYS,CASS,789.58,34776.2,1.14,33.48,0.75,11.45,2.11,93.95,24.43
CASEYS GEN STRS,CASY,4801.9,460943.41,0.41,20.92,1.04,21.62,5.86,60.19,-8.06
CATERPILLAR INC,CAT,55020.27,5563160.5,1.3,28.07,1.27,12.79,3.35,94.41,14.57
CARDTRONICS PLC,CATM,2210.28,340646.66,0.69,17.12,0.78,34.51,2.85,83.97,9.49
CATO CORP A,CATO,753.01,164572.2,1.03,11.63,2.88,16.9,2.58,11.8,-7.75
CATHAY GENL BCP,CATY,2779.29,434481.75,1.12,16.78,1.06,9.58,2.1,89.62,14.31
CHUBB LTD,CB,59675.08,1625037.25,0.86,13.13,0.28,9.88,9.77,89.12,0.16
CINCINNATI BELL,CBB,901.44,259436.95,1.83,85.8,0.89,-4.95,0.25,65.57,1.9
CAPITAL BNK FIN,CBF,945.9,181524.25,0.42,21.86,1,7.2,1.64,96.62,14.5
CBRE GROUP INC,CBG,9835.06,2597236.25,1.8,13.31,1.11,25.55,2.19,40.58,-2.05
CHICAGO BRIDGE,CBI,3211.76,2131991.5,2.09,6.5,0.69,22.54,4.94,34.56,8.52
CBL&ASSOC PPTYS,CBL,2047.82,1942162,1.3,4.93,0.44,4.18,2.43,55.68,-14.36
CAMBREX CORP,CBM,1641.26,345572.09,1.81,24.66,3.66,24.11,2.07,71.87,17.95
CBOE HOLDINGS,CBOE,5592.41,923223,0.57,28.91,2.55,73.4,2.38,71.27,0.42
CHINA BIOLOGIC,CBPO,3264.16,182700,1.7,33.04,6.01,19.61,3.64,46.44,0.23
CONTL BLDG PRD,CBPX,907.82,328138.34,1.26,20.45,2.39,15.21,1.11,82.66,2.53
CRACKER BARREL,CBRL,3927.25,345661.91,0.31,20.78,0.99,34.26,7.86,82.96,8.23
CBS CORP,CBS,26211.88,4456086,1.64,15.56,1.76,33.06,3.92,100,17.87
COMMERCE BANCSH,CBSH,5554.04,436933.5,0.66,21.62,0.66,11.52,2.66,97.62,14.38
CABOT CORP,CBT,3145.95,387764.69,1.25,16.07,2.74,14.79,3.14,82.18,0.18
COMMNTY BK SYS,CBU,2512.41,175616.25,0.92,24.61,0.7,8.42,2.3,99.78,19.58
CBIZ INC,CBZ,675.78,175280.66,0.91,13.4,1.52,11.02,0.94,100,12.1
CAPITAL CITY BK,CCBG,320.34,25431.7,0.67,29.32,0.76,4.01,0.65,93.85,31.09
CALGON CARBON,CCC,896.22,284243.25,1.09,32.78,4.2,6.93,0.54,89.76,20.98
COCA-COLA EU PT,CCE,15929.04,1950287.38,1.1,14.29,1.06,21.76,2.31,0,-15.92
CHASE CORP,CCF,733.64,30879.15,1.24,22.81,2.03,19.68,3.45,94.64,20.32
CROWN CASTLE,CCI,30734.37,3878656.5,0.35,18.77,0.94,4.84,4.54,28.8,-13.06
CAMECO CORP,CCJ,3589.84,3111157.25,1.42,23.26,4.61,3.7,0.39,26.88,-4.43
CROWN HLDGS INC,CCK,7778.31,750158.19,1.4,14.23,1.1,91.21,3.91,88.74,-0.68
CARNIVAL CORP,CCL,29318.42,3025932.5,0.66,16.13,0.22,10.76,3.3,85.48,16.02
CABOT MICROELEC,CCMP,1479.54,139008.5,1.28,22.51,6.63,14.4,2.67,95.86,19.41
CNB FINL CP PA,CCNE,340.82,34905.3,0.78,16.25,0.88,10.05,1.45,85.41,14.15
COGENT COMM HLD,CCOI,1739.84,483073.25,0.82,123.39,3.27,-53.79,0.31,60.05,5.72
CARE CAP PROPRT,CCP,2022.6,727673.19,0.52,7.55,2.22,9.92,3.19,13.96,-22.42
CROSS COUNTRY,CCRN,489.88,312253.41,0.57,22.15,2.17,25.48,0.67,55.01,17.13
CENTURY COMMUNT,CCS,442.81,125950.1,1.04,9.36,0.47,11.19,2.25,94.28,4.62
CERV UNIDAS-ADR,CCU,3735.69,216243.91,0.54,25.92,1.6,8.32,0.78,26.81,-7.42
CDK GLOBAL INC,CDK,8768.29,614821.19,0.7,30.08,1.55,59.26,1.95,95.43,-0.54
CADENCE DESIGN,CDNS,7623.75,2040782.63,1,31.28,1.49,23.13,0.85,96.71,2.9
CEDAR SHOPN CTR,CDR,562.21,375509,1.02,11.56,0.68,3.26,0.57,21.2,-17
CDW CORP,CDW,8311.05,933325.63,0.96,16.54,1.41,50.73,3.13,99.01,15.04
CELANESE CP-A,CE,11049.24,861067.81,1.22,12.17,2.71,30.69,6.34,93.23,19.89
CHINA EASTN-ADR,CEA,6727.43,16905.3,1.22,6.86,0.25,14.24,3.39,21.53,-11.12
CECO ENVIRNMNTL,CECE,458.44,266770.31,1.58,16.57,1.47,11.22,0.81,100,21.78
CAREER EDU CORP,CECO,683.55,422161.66,2.6,4.36,1.99,45.37,2.29,99.09,50.3
CELLCOM ISRAEL,CEL,804.84,16651.75,2.09,19.51,1.48,12.4,0.41,81.88,3.9
CELGENE CORP,CELG,94675.66,5531215.5,1.71,25.18,3.61,70.48,4.85,93.07,14.45
CENTRAL GARDEN,CENT,1526.43,114028.2,0.36,26.09,3.5,11.04,1.15,100,16.1
CENTRAL GARDN-A,CENTA,1447.06,188639.7,0.57,24.73,3.5,11.04,1.15,100,16.46
CERNER CORP,CERN,16896.72,5001708,1.11,23.15,2.41,18.39,2.15,6.89,-23.38
CEVA INC,CEVA,683.64,119708.1,0.72,61.92,6.59,5.75,0.52,78.34,0.63
CF INDUS HLDGS,CF,6394.32,6733553.5,1.32,16.93,3.03,5.94,1.62,24.28,6.94
C&F FINL CP,CFFI,155.7,12020.6,0.52,12.3,1,9.32,3.66,81.51,4.7
CAPITOL FEDL FN,CFFN,2201.15,646172.88,0.39,25.41,1.35,6,0.63,92.04,11.96
CITIZENS FIN GP,CFG,16579.73,7492309,1.1,17.9,0.97,4.88,1.81,99.51,33.29
CULP INC,CFI,417.82,36827.45,0.47,17.77,3.5,18.84,1.91,98.64,0.74
CARDINAL FINL,CFNL,1049.46,140089.41,0.91,21.47,1.14,11.61,1.49,97.53,21.5
CULLEN FROST BK,CFR,5070.8,591134,1.15,18.64,0.6,9.61,4.32,90.93,12.28
COLFAX CORP,CFX,4413.38,864996,1.41,22.35,1.68,6.18,1.61,91.65,20.82
CARLYLE GROUP,CG,1306.75,607591.63,1.92,15.77,0.89,9.41,0.98,59.21,-0.64
CELADON GROUP,CGI,227.08,543024.13,1.45,20.64,1.16,2.83,0.39,32.38,-3.25
COGNEX CORP,CGNX,5169.09,581000.88,1.32,43.72,7.69,13.67,1.38,98.46,21.36
CITY HLDGS CO,CHCO,921.28,57588.1,0.75,18.22,0.9,11.96,3.37,97.17,23.17
COMM HLTHCR TR,CHCT,290.41,88170.5,1.08,14.81,0.22,1.13,1.51,83.4,-3.16
CHURCH & DWIGHT,CHD,11595.8,2339354.75,0.46,25.84,1.02,22.67,1.74,45.6,-10.87
CHURCHILL DOWNS,CHDN,2587.53,84685.5,0.69,29.85,0.51,13.6,5.22,98.53,3.97
CHEMED CORP,CHE,2434.09,116900.3,1.25,21.84,0.79,23.95,6.87,73.33,9.13
CHEFS WAREHOUSE,CHEF,346.55,185525.84,1.32,24.91,2.58,7.47,0.53,27.51,10
CHEMICAL FINL,CHFC,3665.62,344512.69,1.04,18.62,1,8.15,2.79,96.57,19.07
CHARTER FINL CP,CHFN,218.7,33062.35,0.21,18.42,0.96,5.97,0.79,97.14,11.15
CHOICE HTL INTL,CHH,2922.65,247607.3,0.97,21.62,1.44,-36.59,2.41,84.02,8.07
CHECK PT SOFTW,CHKP,14270.25,1112241,0.91,20.15,1.53,20.32,4.05,52.25,4.94
CHERRY HILL MTG,CHMI,135.45,43973.1,0.27,8.57,0.08,10.45,2.1,100,7.66
CHEMTURA CORP,CHMT,2069.25,462343.31,1.6,18.15,2.77,12.15,1.81,94.5,10.05
CH ROBINSON WWD,CHRW,10617.84,1460564.88,0.33,20.77,1.09,42.48,3.61,95.2,6.64
CHICOS FAS INC,CHS,1970.39,2945467,0.73,20.33,1.62,16.24,0.75,90.26,21.32
CHESAPEAKE LODG,CHSP,1406.99,391010.19,1.03,9.67,1.82,6.6,2.42,37.89,-6.13
CHUNGHWA TELECM,CHT,26088.31,369270.81,0.31,20.38,1.35,11.23,1.65,46.95,-8.09
CHUYS HOLDINGS,CHUY,526.53,175518.66,0,28.98,1.06,12.68,1.08,44.15,3.81
CIGNA CORP,CI,35507.01,1423061.75,0.5,17.05,0.42,16.17,8.11,68.86,8.4
BANCOLOMBIA-ADR,CIB,7812.45,436534.09,0.58,9.88,1.13,14.72,3.29,46.53,-21.77
CIENA CORP,CIEN,3018.13,2084974,1.72,23.04,1.95,22.41,0.94,61.96,-5.74
COLLIERS INT GP,CIGI,1314.26,26398.35,1.55,15.95,1.12,52.27,2.21,26.19,-17.76
CHIMERA INVEST,CIM,3221.45,1586083.88,0.86,7.46,0.04,14.6,2.3,100,2.39
CINCINNATI FINL,CINF,12703.8,622911.5,0.82,22.55,0.29,8.34,3.42,96.88,-0.9
CINER RESOURCES,CINR,299.01,24317.35,1.16,13.34,2.5,22.91,2.27,82.54,-0.3
